"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.maven.UpdateMavenProjectPropertyJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
