"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.boot2.MaybeAddSpringBootStarterActuator","7","4","27800","0.0","7800","12400","1712.0","6800"
"org.openrewrite.java.spring.batch.MigrateJobBuilderFactory","7","4","0","0.0","0","67500","55292.0","54800"
"org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","7","4","5200","0.0","1800","10600","1632.0","3500"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","7","4","10300","0.0","7100","13500","3320.0","6800"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioInputBuffers","7","4","14800","0.0","6500","15800","2808.0","2700"
"org.openrewrite.java.RemoveAnnotation","7","4","0","0.0","0","940200","172028.0","168400"
"org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation","7","4","0","0.0","0","27700","10232.0","11900"
"org.openrewrite.java.spring.boot3.MigrateDropWizardDependencies","7","4","6500","0.0","3700","15600","2784.0","4700"
"org.openrewrite.java.testing.junit5.JUnitParamsRunnerToParameterized","7","4","0","0.0","0","17100","4592.0","5400"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","7","4","4500","0.0","1900","11000","5112.0","5100"
"org.openrewrite.java.migrate.jakarta.UpdateApacheCommonsEmailDependencies","7","4","13200","0.0","4800","10300","4848.0","4700"
"org.openrewrite.java.testing.mockito.VerifyZeroToNoMoreInteractions","7","4","4873100","0.0","3427100","498500","12160.0","414400"
"org.openrewrite.yaml.ChangeKey","7","4","0","0.0","0","49184300","5.0331632E7","49178800"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","7","4","12900","0.0","4800","15400","1840.0","9100"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_1","7","4","12600","0.0","3500","15800","1888.0","9000"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","7","4","3500","0.0","1100","17500","6128.0","5900"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_3","7","4","6200","0.0","1800","11700","2416.0","4500"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_2","7","4","12600","0.0","4300","10500","2288.0","3300"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_5","7","4","8100","0.0","3300","6700","1904.0","1900"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_4","7","4","5500","0.0","2600","6100","1392.0","1400"
"org.openrewrite.java.spring.data.UseJpaRepositoryGetReferenceById","7","4","12400","0.0","8500","10300","1520.0","6300"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","7","4","5400","0.0","3400","14100","4344.0","6600"
"org.openrewrite.java.testing.junit5.AddMissingTestBeforeAfterAnnotations","7","4","0","0.0","0","3654700","3670012.0","3581000"
"org.openrewrite.java.migrate.jakarta.JavaxOrmXmlToJakartaOrmXml","7","4","22800","0.0","9500","10700","1712.0","4300"
"org.openrewrite.apache.httpclient5.MigrateRequestConfig","7","4","0","0.0","0","46900","6904.0","6700"
"org.openrewrite.java.spring.framework.MigrateWebExchangeBindExceptionResolveErrorMethod","7","4","0","0.0","0","6200","2300.0","2300"
"org.openrewrite.java.testing.junit5.IgnoreToDisabled","7","4","0","0.0","0","30000","2912.0","20700"
"org.openrewrite.java.spring.data.UseJpaRepositoryGetById","7","4","12800","0.0","9600","11200","1504.0","5800"
"org.openrewrite.hibernate.MigrateResultCheckStyleToExpectation","7","4","0","0.0","0","18700","10748.0","10400"
"org.openrewrite.java.spring.boot2.GetErrorAttributes","7","4","0","0.0","0","19800","9212.0","8900"
"org.openrewrite.hibernate.EmptyInterceptorToInterface","7","4","0","0.0","0","1801400","311292.0","309800"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_7","7","4","21000","0.0","8600","49300","19440.0","19200"
"org.openrewrite.openapi.swagger.MigrateApiResponsesToApiResponses","7","4","21900","0.0","14700","19800","2752.0","7900"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","7","4","0","0.0","0","1055600","589816.0","586600"
